Unnamed: 0,CPU cores,CPU freq,CPU model,RAM,ROM,SIM cards,battery,brand,charging port,comments,front camera,model,month,price,rear camera,rear camera specs,resolution,screen material,screen size,weight,year
100003395443,,,麒麟980,,,2个,4000.0,HUAWEI,Type-C,31000.0,,荣耀20PRO,6月,3199.0,4.0,,2527200.0,TFT LCD（IPS）,6.26,182,2019年
6051259,,,,,64.0,1个,,Apple,Lightning（iPhone）,1400000.0,700万像素,iPhone 8,,3499.0,1.0,1200万像素,1000500.0,,4.7,148,2017年
8256440,八核 + 微智核i7,4×Cortex A73 2.36GHz+4×Cortex A53 1.8GHz,麒麟970,8.0,128.0,2个,3400.0,HUAWEI,Type-C,1280000.0,2400万像素,荣耀10,7月,2299.0,2.0,2400万+1600万像素,2462400.0,IPS,5.84,153,2018年
100000400010,八核,,骁龙845,6.0,128.0,2个,3000.0,XIAOMI,Type-C,1280000.0,2000万像素,小米8屏幕指纹版,9月,1999.0,2.0,双1200万像素,,,6.21,177,2018年
100005603522,,,麒麟980,,,2个,3750.0,HUAWEI,Type-C,160000.0,,荣耀20,6月,2699.0,4.0,,2527200.0,TFT LCD（IPS）,6.26,174,2019年
100002293114,八核,8xA53 1.8GHz,骁龙450,3.0,32.0,2个,4000.0,HUAWEI,Micro USB,300000.0,800万像素,华为畅享9,12月,799.0,2.0,1300万+200万像素,1094400.0,TFT,6.26,168,2018年
7596939,四核,4*1.5GHz,MT6739,2.0,16.0,2个,3020.0,HUAWEI,Micro USB,470000.0,500万像素,荣耀畅玩7,5月,599.0,1.0,1300万像素,1036800.0,IPS,5.45,142,2018年
100000287113,,,,,256.0,2个,,Apple,Lightning（iPhone）,760000.0,700万像素,iPhone XS Max,9月,9199.0,2.0,双1200万像素,3338496.0,OLED,6.5,208,2018年
7437762,八核,,骁龙845,6.0,128.0,2个,3400.0,XIAOMI,Type-C,1280000.0,2000万像素,小米8,5月,1899.0,2.0,双1200万像素,,,6.21,175,2018年
100003060627,八核,4 × Cortex A73 2.2 GHz + 4 × Cortex A53 1.7 GHz,麒麟710,6.0,64.0,2个,3400.0,HUAWEI,Micro USB,200000.0,3200万像素,荣耀20i,4月,1399.0,3.0,2400万+800万+200万像素,2527200.0,IPS,6.21,164,2019年
100005787062,,,骁龙710,,,2个,5000.0,vivo,Micro USB,110000.0,,Z5x,5月,1498.0,3.0,,2527200.0,LCD,6.53,204,2019年
7437710,八核,,骁龙675,6.0,128.0,2个,4000.0,XIAOMI,Type-C,310000.0,1300万像素,红米Note7 Pro,3月,1599.0,2.0,4800万+500万像素,2527200.0,,6.3,186,2019年
100000322942,八核,4*Cortex A73 2.2GHz+4*Cortex A53 1.7GHz,麒麟710,6.0,128.0,2个,3340.0,,Micro USB,200000.0,2400万+200万像素,nova 3i,8月,1599.0,2.0,1600万+200万像素,2527200.0,TFT,6.3,169,2018年
100000650837,八核,4xKryo Gold 1.8GHz+4xKryo Silver 1.8GHz,骁龙632,4.0,32.0,2个,4000.0,HUAWEI,Micro USB,580000.0,800万像素,荣耀畅玩8C,10月,899.0,2.0,1300+200万像素,1094400.0,IPS,6.26,167,2018年
8264403,四核,,,3.0,32.0,2个,3000.0,XIAOMI,Micro USB,940000.0,500万像素,红米6A,6月,649.0,1.0,1300万像素,1036800.0,,5.45,145,2018年
100003774677,八核,4×Cortex-A73 2.2GHz+4×Cortex-A53 1.7GHz,麒麟710,,,2个,4000.0,HUAWEI,Type-C,16000.0,2400万像素,nova 5i,6月,2199.0,4.0,2400万+800万+200万+200万像素,2494800.0,LTPS,6.4,178,2019年
100002544828,八核,2×Cortex-A76 Based 2.6GHz+ 2×Cortex-A76 Based 1.92GHz  + 4×Cortex-A55 1.8GHz,麒麟980,6.0,128.0,2个,4000.0,HUAWEI,Type-C,400000.0,2500万像素,荣耀V20,12月,2399.0,2.0,4800万像素,2494800.0,IPS,6.4,180,2018年
100005702210,,,骁龙710,,,2个,3765.0,OPPO,Type-C,140000.0,,K3,5月,1899.0,2.0,,2527200.0,AMOLED,6.5,191,2019年
3133827,,,,,128.0,1个,,Apple,Lightning（iPhone）,930000.0,700万像素,iPhone 7,9月,2899.0,1.0,1200万像素,1000500.0,,4.7,138,2016年
6051045,,,,,64.0,1个,,Apple,Lightning（iPhone）,1860000.0,700万像素,iPhone 8 Plus,,4299.0,2.0,1200万像素,,,5.5,202,2017年
100000766433,八核,4*Cortex-A73 2.2GHz + 4*Cortex-A53 1.7GHz,麒麟710F,4.0,64.0,2个,4000.0,HUAWEI,Micro USB,420000.0,1600万+200万像素,华为畅享9 Plus,10月,1199.0,2.0,1300万+200万像素,2527200.0,TFT,6.5,173,2018年
7120002,八核,Adreno 512 图形处理器 最高主频 650 MHz,骁龙660,6.0,64.0,2个,3010.0,XIAOMI,Type-C,840000.0,2000万像素,小米6X,4月,1099.0,2.0,2000+1200万像素,2332800.0,,5.99,168,2018年
100002433196,,,麒麟970,,,2个,3750.0,,Type-C,180000.0,,华为nova 4,12月,2599.0,3.0,,2494800.0,LCD,6.4,172,2018年
100003433872,八核,,骁龙855,8.0,128.0,2个,4000.0,vivo,Type-C,230000.0,2x1200万像素,iQOO,3月,2998.0,3.0,1300万+1200万+200万像素,2527200.0,Super AMOLED,6.41,196,2019年
100000349372,八核,,骁龙660,6.0,64.0,2个,3350.0,XIAOMI,Type-C,380000.0,2400万像素,小米8青春版,9月,1099.0,2.0,1200万+500万像素,2462400.0,,6.26,169,2018年
100005088702,八核,4×Cortex A73 2.2GHz +4*Cortex A53 1.7GHz,麒麟710,6.0,64.0,2个,3400.0,HUAWEI,Micro USB,160000.0,800万像素,华为畅享 9S,3月,1399.0,3.0,2400万+1600万+200万像素,2527200.0,TFT LCD（IPS）,6.21,160,2019年
100005502446,八核,单核最高主频 2.84GHz,骁龙855,,,2个,4000.0,,Type-C,160000.0,1600万像素,7 Pro,5月,4499.0,3.0,4800万+1600万+800万像素,4492800.0,AMOLED,6.67,206,2019年
7513407,八核,1.8GHz,骁龙636,6.0,64.0,2个,3060.0,NOKIA,Type-C,260000.0,1600万像素,X6,5月,899.0,2.0,1600万+500万像素,2462400.0,IPS,5.8,153,2018年
100002727554,八核,4×Cortex A53 2.3GHz+4×Cortex A53 1.8GHz,Mediatek MT6765（联发科Helio P35）,3.0,32.0,2个,3020.0,HUAWEI,Micro USB,250000.0,800万像素,荣耀畅玩8A,1月,799.0,1.0,1300万像素,,IPS,6.088,150,2019年
7437786,八核,,骁龙710,6.0,64.0,2个,3120.0,XIAOMI,Type-C,800000.0,2000万像素,小米8 SE,5月,1299.0,2.0,1200+500万像素,,,5.88,164,2018年
4720749,单核,0.26GHz,,,,1个,,NOKIA,Micro USB,630000.0,,诺基亚105 SS,8月,149.0,,,,,1.8,73,2017年
7437564,八核,,骁龙845,6.0,128.0,2个,3200.0,XIAOMI,Type-C,120000.0,2400万+200万像素,小米MIX3,10月,2299.0,2.0,双1200万像素,2527200.0,AMOLED,6.39,218,2018年
3133857,,,,,128.0,1个,,Apple,Lightning（iPhone）,960000.0,700万像素,iPhone 7 Plus,9月,3899.0,2.0,双1200万像素,2073600.0,,5.5,188,2016年
6946637,八核,4 ×Cortex A73 2.36 GHz + 4 × Cortex A53 1.8 GHz,麒麟970,6.0,128.0,2个,3400.0,,Type-C,690000.0,2400万像素,P20,4月,3188.0,2.0,2000万+1200万像素,,TFT,5.8,165,2018年
100003434260,八核,,骁龙855,8.0,128.0,2个,3300.0,,Type-C,270000.0,2000万像素,小米9,2月,3299.0,3.0,4800万+1600万+1200万像素,2527200.0,AMOLED,6.39,173,2019年
